frequency_hz,first_real,first_imag,second_real,second_imag
1.0,-0.1722459167876,-0.4990520368045,-0.1722459167876,-0.4990520368045
1.01157945426,-0.17900528876,-0.5010130212855,-0.17900528876,-0.5010130212855
1.023292992281,-0.1857956447052,-0.5028645230718,-0.1857956447052,-0.5028645230718
1.035142166679,-0.1926139181422,-0.5046061710306,-0.1926139181422,-0.5046061710306
1.047128548051,-0.1994570481294,-0.506237698226,-0.1994570481294,-0.506237698226
1.059253725177,-0.2063219834452,-0.5077589408271,-0.2063219834452,-0.5077589408271
1.071519305238,-0.2132056866743,-0.5091698368312,-0.2132056866743,-0.5091698368312
1.083926914021,-0.2201051381896,-0.5104704246076,-0.2201051381896,-0.5104704246076
1.096478196143,-0.2270173400215,-0.5116608412718,-0.2270173400215,-0.5116608412718
1.109174815262,-0.2339393196075,-0.5127413208965,-0.2339393196075,-0.5127413208965
1.122018454302,-0.2408681334142,-0.51371219257,-0.2408681334142,-0.51371219257
1.135010815672,-0.2478008704269,-0.5145738783093,-0.2478008704269,-0.5145738783093
1.148153621497,-0.254734655499,-0.5153268908379,-0.254734655499,-0.5153268908379
1.16144861384,-0.2616666525577,-0.5159718312372,-0.2616666525577,-0.5159718312372
1.17489755494,-0.2685940676612,-0.5165093864819,-0.2685940676612,-0.5165093864819
1.188502227437,-0.2755141519029,-0.5169403268672,-0.2755141519029,-0.5169403268672
1.202264434617,-0.2824242041602,-0.5172655033392,-0.2824242041602,-0.5172655033392
1.216186000646,-0.2893215736847,-0.5174858447372,-0.2893215736847,-0.5174858447372
1.230268770812,-0.296203662533,-0.5176023549576,-0.296203662533,-0.5176023549576
1.244514611771,-0.3030679278343,-0.5176161100492,-0.3030679278343,-0.5176161100492
1.258925411794,-0.3099118838974,-0.5175282552491,-0.3099118838974,-0.5175282552491
1.273503081017,-0.3167331041535,-0.5173400019684,-0.3167331041535,-0.5173400019684
1.288249551693,-0.3235292229377,-0.5170526247374,-0.3235292229377,-0.5170526247374
1.303166778452,-0.3302979371081,-0.5166674581183,-0.3302979371081,-0.5166674581183
1.318256738556,-0.3370370075051,-0.5161858935948,-0.3370370075051,-0.5161858935948
1.333521432163,-0.3437442602523,-0.515609376447,-0.3437442602523,-0.515609376447
1.348962882592,-0.3504175879003,-0.5149394026193,-0.3504175879003,-0.5149394026193
1.364583136589,-0.3570549504179,-0.5141775155898,-0.3570549504179,-0.5141775155898
1.380384264603,-0.3636543760313,-0.5133253032479,-0.3636543760313,-0.5133253032479
1.396368361056,-0.3702139619172,-0.5123843947885,-0.3702139619172,-0.5123843947885
1.412537544623,-0.3767318747506,-0.5113564576283,-0.3767318747506,-0.5113564576283
1.428893958511,-0.3832063511142,-0.5102431943522,-0.3832063511142,-0.5102431943522
1.445439770746,-0.3896356977714,-0.5090463396941,-0.3896356977714,-0.5090463396941
1.462177174457,-0.3960182918081,-0.5077676575607,-0.3960182918081,-0.5077676575607
1.479108388168,-0.4023525806484,-0.5064089380997,-0.4023525806484,-0.5064089380997
1.496235656094,-0.4086370819485,-0.5049719948222,-0.4086370819485,-0.5049719948222
1.513561248436,-0.4148703833735,-0.5034586617794,-0.4148703833735,-0.5034586617794
1.531087461682,-0.4210511422632,-0.5018707908013,-0.4210511422632,-0.5018707908013
1.548816618912,-0.4271780851911,-0.5002102487995,-0.4271780851911,-0.5002102487995
1.566751070108,-0.4332500074226,-0.4984789151383,-0.4332500074226,-0.4984789151383
1.584893192461,-0.4392657722775,-0.4966786790767,-0.4392657722775,-0.4966786790767
1.60324539069,-0.4452243104017,-0.4948114372855,-0.4452243104017,-0.4948114372855
1.621810097359,-0.4511246189546,-0.4928790914397,-0.4511246189546,-0.4928790914397
1.6405897732,-0.4569657607164,-0.4908835458911,-0.4569657607164,-0.4908835458911
1.659586907438,-0.4627468631215,-0.48882670542,-0.4627468631215,-0.48882670542
1.678804018123,-0.4684671172225,-0.4867104730704,-0.4684671172225,-0.4867104730704
1.698243652462,-0.4741257765915,-0.4845367480675,-0.4741257765915,-0.4845367480675
1.717908387158,-0.4797221561611,-0.4823074238194,-0.4797221561611,-0.4823074238194
1.737800828749,-0.485255631014,-0.4800243860041,-0.485255631014,-0.4800243860041
1.757923613959,-0.4907256351225,-0.4776895107414,-0.4907256351225,-0.4776895107414
1.778279410039,-0.4961316600449,-0.4753046628495,-0.4961316600449,-0.4753046628495
1.798870915129,-0.5014732535834,-0.4728716941874,-0.5014732535834,-0.4728716941874
1.81970085861,-0.5067500184066,-0.4703924420818,-0.5067500184066,-0.4703924420818
1.840772001469,-0.5119616106427,-0.4678687278378,-0.5119616106427,-0.4678687278378
1.862087136663,-0.5171077384477,-0.4653023553332,-0.5171077384477,-0.4653023553332
1.88364908949,-0.5221881605503,-0.4626951096955,-0.5221881605503,-0.4626951096955
1.905460717963,-0.5272026847814,-0.4600487560594,-0.5272026847814,-0.4600487560594
1.927524913191,-0.5321511665881,-0.4573650384052,-0.5321511665881,-0.4573650384052
1.949844599758,-0.5370335075389,-0.4546456784752,-0.5370335075389,-0.4546456784752
1.972422736115,-0.5418496538214,-0.4518923747673,-0.5418496538214,-0.4518923747673
1.995262314969,-0.5465995947374,-0.4491068016037,-0.5465995947374,-0.4491068016037
2.018366363682,-0.5512833611972,-0.4462906082739,-0.5512833611972,-0.4462906082739
2.04173794467,-0.5559010242174,-0.4434454182487,-0.5559010242174,-0.4434454182487
2.065380155811,-0.5604526934236,-0.4405728284644,-0.5604526934236,-0.4405728284644
2.089296130854,-0.5649385155618,-0.4376744086746,-0.5649385155618,-0.4376744086746
2.113489039837,-0.5693586730205,-0.4347517008678,-0.5693586730205,-0.4347517008678
2.137962089502,-0.5737133823652,-0.4318062187487,-0.5737133823652,-0.4318062187487
2.162718523727,-0.5780028928888,-0.4288394472808,-0.5780028928888,-0.4288394472808
2.18776162395,-0.5822274851787,-0.4258528422886,-0.5822274851787,-0.4258528422886
2.213094709606,-0.5863874697027,-0.422847830116,-0.5863874697027,-0.422847830116
2.238721138568,-0.5904831854158,-0.419825807341,-0.5904831854158,-0.419825807341
2.264644307593,-0.5945149983889,-0.4167881405417,-0.5945149983889,-0.4167881405417
2.290867652768,-0.5984833004613,-0.413736166113,-0.5984833004613,-0.413736166113
2.317394649968,-0.6023885079177,-0.4106711901325,-0.6023885079177,-0.4106711901325
2.34422881532,-0.6062310601913,-0.4075944882709,-0.6062310601913,-0.4075944882709
2.371373705662,-0.6100114185937,-0.4045073057471,-0.6100114185937,-0.4045073057471
2.39883291902,-0.6137300650727,-0.401410857325,-0.6137300650727,-0.401410857325
2.426610095082,-0.6173875009988,-0.3983063273494,-0.6173875009988,-0.3983063273494
2.454708915685,-0.6209842459803,-0.3951948698198,-0.6209842459803,-0.3951948698198
2.483133105296,-0.6245208367093,-0.3920776084991,-0.6245208367093,-0.3920776084991
2.51188643151,-0.6279978258365,-0.3889556370561,-0.6279978258365,-0.3889556370561
2.540972705549,-0.6314157808781,-0.3858300192391,-0.6314157808781,-0.3858300192391
2.570395782769,-0.6347752831523,-0.3827017890795,-0.6347752831523,-0.3827017890795
2.600159563165,-0.6380769267475,-0.379571951122,-0.6380769267475,-0.379571951122
2.630267991895,-0.6413213175216,-0.3764414806816,-0.6413213175216,-0.3764414806816
2.660725059799,-0.6445090721323,-0.3733113241245,-0.6445090721323,-0.3733113241245
2.691534803927,-0.6476408170988,-0.3701823991702,-0.6476408170988,-0.3701823991702
2.722701308078,-0.6507171878941,-0.3670555952156,-0.6507171878941,-0.3670555952156
2.754228703338,-0.653738828069,-0.3639317736777,-0.653738828069,-0.3639317736777
2.78612116863,-0.6567063884058,-0.3608117683527,-0.6567063884058,-0.3608117683527
2.818382931264,-0.6596205261031,-0.357696385793,-0.6596205261031,-0.357696385793
2.851018267504,-0.6624819039905,-0.354586405697,-0.6624819039905,-0.354586405697
2.884031503127,-0.665291189773,-0.351482581313,-0.665291189773,-0.351482581313
2.917427014001,-0.6680490553048,-0.3483856398545,-0.6680490553048,-0.3483856398545
2.951209226666,-0.6707561758919,-0.3452962829262,-0.6707561758919,-0.3452962829262
2.985382618918,-0.6734132296233,-0.3422151869592,-0.6734132296233,-0.3422151869592
3.019951720402,-0.6760208967301,-0.3391430036549,-0.6760208967301,-0.3391430036549
3.054921113216,-0.678579858972,-0.3360803604348,-0.678579858972,-0.3360803604348
3.090295432514,-0.6810907990506,-0.3330278608976,-0.6810907990506,-0.3330278608976
3.126079367124,-0.6835544000496,-0.3299860852803,-0.6835544000496,-0.3299860852803
3.162277660168,-0.6859713448996,-0.3269555909242,-0.6859713448996,-0.3269555909242
3.198895109691,-0.6883423158694,-0.3239369127433,-0.6883423158694,-0.3239369127433
3.235936569296,-0.6906679940809,-0.3209305636952,-0.6906679940809,-0.3209305636952
3.273406948788,-0.6929490590483,-0.317937035254,-0.6929490590483,-0.317937035254
3.311311214826,-0.6951861882407,-0.3149567978833,-0.6951861882407,-0.3149567978833
3.349654391578,-0.6973800566674,-0.3119903015094,-0.6973800566674,-0.3119903015094
3.388441561392,-0.6995313364846,-0.3090379759939,-0.6995313364846,-0.3090379759939
3.427677865465,-0.7016406966248,-0.3061002316052,-0.7016406966248,-0.3061002316052
3.467368504525,-0.7037088024457,-0.3031774594877,-0.7037088024457,-0.3031774594877
3.507518739526,-0.7057363154002,-0.3002700321291,-0.7057363154002,-0.3002700321291
3.548133892336,-0.7077238927253,-0.2973783038243,-0.7077238927253,-0.2973783038243
