external_mismatch,frequency_hz,cmrr_db_ideal_internal_network
0,20,212.6610833343773
0,1000,210.07369983672336
0,20000,223.00718839315618
1,20,80.54095760284966
1,1000,105.13555517908402
1,20000,105.66401575667273
