frequency_hz,left_real,left_imag,right_real,right_imag,opneg_real,opneg_imag,oppos_real,oppos_imag
1.0,-7.550375586752e-11,3.374201332501e-10,-7.550375586752e-11,3.374201332501e-10,-5.320009280709e-12,-3.394150647345e-11,5.320702396869e-12,3.394132826851e-11
1.01157945426,8.9848053275e-11,9.689942304668e-11,8.9848053275e-11,9.689942304668e-11,-1.179669311041e-11,-5.719347922874e-12,1.179678947259e-11,5.71908905144e-12
1.023292992281,-1.068744770283e-11,-9.870747095868e-11,-1.068744770283e-11,-9.870747095868e-11,4.503933716606e-12,8.7433047876e-12,-4.50411021707e-12,-8.743191735251e-12
1.035142166679,6.264895991263e-11,4.950767336145e-11,6.264895991263e-11,4.950767336145e-11,-7.534256510329e-12,-2.370169437407e-12,7.534292309565e-12,2.370002987464e-12
1.047128548051,-7.330292738707e-11,-1.362730416524e-10,-7.330292738707e-11,-1.362730416524e-10,1.151938986739e-11,1.004469663763e-11,-1.151958491e-11,-1.004442643877e-11
1.059253725177,-4.417755194747e-11,-2.651268913941e-10,-4.417755194747e-11,-2.651268913941e-10,1.320692683964e-11,2.298672724693e-11,-1.320740527794e-11,-2.298639119818e-11
1.071519305238,5.674146171428e-11,-5.420460383404e-11,5.674146171428e-11,-5.420460383404e-11,-3.400981028492e-12,6.940588408109e-12,3.400820023295e-12,-6.940650084363e-12
1.083926914021,2.170285340079e-11,5.417977423366e-11,2.170285340079e-11,5.417977423366e-11,-3.82805514586e-12,-4.27827049533e-12,3.828143640368e-12,4.278175902531e-12
1.096478196143,5.474525453337e-11,-1.243809870406e-10,5.474525453337e-11,-1.243809870406e-10,-9.255655685547e-13,1.331702273178e-11,9.252609561474e-13,-1.331701713352e-11
1.109174815262,-7.358692309487e-11,-1.686446282761e-10,-7.358692309487e-11,-1.686446282761e-10,1.234406130836e-11,1.317037923537e-11,-1.234433950784e-11,-1.317006899738e-11
1.122018454302,2.810182118725e-11,1.002829902214e-10,2.810182118725e-11,1.002829902214e-10,-5.855398744602e-12,-8.356711766388e-12,5.855581444835e-12,8.356558825933e-12
1.135010815672,8.964230397959e-11,-2.653924542387e-10,8.964230397959e-11,-2.653924542387e-10,2.368255034172e-13,2.741028440519e-11,-2.374700984508e-13,-2.741022399614e-11
1.148153621497,-1.215913414786e-11,1.278833564767e-10,-1.215913414786e-11,1.278833564767e-10,-2.935938561536e-12,-1.220687781865e-11,2.936223289006e-12,1.22067835041e-11
1.16144861384,2.762248918255e-11,-2.94727092393e-11,2.762248918255e-11,-2.94727092393e-11,-1.628330815471e-12,3.591183913712e-12,1.62824107499e-12,-3.591215942734e-12
1.17489755494,2.216091487663e-11,-1.790272772052e-10,2.216091487663e-11,-1.790272772052e-10,3.505681884237e-12,1.723585950691e-11,-3.50609475106e-12,-1.723573962363e-11
1.188502227437,8.261764203378e-11,2.417593355616e-10,8.261764203378e-11,2.417593355616e-10,-1.505118512305e-11,-1.981318878205e-11,1.50516432668e-11,1.981277823828e-11
1.202264434617,-6.653350195557e-11,-4.109707026202e-11,-6.653350195557e-11,-4.109707026202e-11,7.395971503582e-12,1.781662680698e-12,-7.396001120878e-12,-1.781474747343e-12
1.216186000646,-6.064652871429e-11,2.875169856161e-11,-6.064652871429e-11,2.875169856161e-11,4.744144557854e-12,-4.475261877231e-12,-4.744022214125e-12,4.475372556721e-12
1.230268770812,1.644893867926e-10,2.541928000972e-10,1.644893867926e-10,2.541928000972e-10,-2.273559665235e-11,-1.862286260031e-11,2.273602621604e-11,1.862224538145e-11
1.244514611771,4.735290959475e-11,1.529207603695e-11,4.735290959475e-11,1.529207603695e-11,-4.824931218912e-12,-2.663970340979e-14,4.824922253276e-12,2.651514601891e-14
1.258925411794,-7.681252343265e-12,7.776452834483e-11,-7.681252343265e-12,7.776452834483e-11,-1.541489525424e-12,-7.410538998148e-12,1.541679879627e-12,7.410483934357e-12
1.273503081017,-1.449734075646e-10,-3.046637673643e-10,-1.449734075646e-10,-3.046637673643e-10,2.212047374402e-11,2.401218309445e-11,-2.212106353868e-11,-2.401155095381e-11
1.288249551693,-1.264304326303e-11,-1.160149171975e-10,-1.264304326303e-11,-1.160149171975e-10,4.451145483972e-12,1.036609190745e-11,-4.451413468707e-12,-1.036595227272e-11
1.303166778452,7.126879616449e-11,9.024153742791e-11,7.126879616449e-11,9.024153742791e-11,-9.11174633014e-12,-6.348084079865e-12,9.111899628091e-12,6.347825175643e-12
1.318256738556,-7.748834000103e-12,2.400676329034e-10,-7.748834000103e-12,2.400676329034e-10,-5.921492821106e-12,-2.240484370036e-11,5.922093372651e-12,2.240463701992e-11
1.333521432163,5.114922787844e-11,1.722228439934e-10,5.114922787844e-11,1.722228439934e-10,-9.435325615453e-12,-1.452131633073e-11,9.43570824959e-12,1.452102639188e-11
1.348962882592,1.305889848377e-10,7.412362297508e-11,1.305889848377e-10,7.412362297508e-11,-1.407378199765e-11,-3.32308218031e-12,1.407384678575e-11,3.322681887842e-12
1.364583136589,3.68124634661e-11,2.643285569662e-11,3.68124634661e-11,2.643285569662e-11,-4.108789935752e-12,-1.460029314416e-12,4.108823024793e-12,1.459910139586e-12
1.380384264603,7.436305450419e-11,-1.821145090827e-10,7.436305450419e-11,-1.821145090827e-10,-2.065025761532e-12,1.87972542221e-11,2.064483624044e-12,-1.879727571642e-11
1.396368361056,-5.874555185269e-11,-1.976075259628e-10,-5.874555185269e-11,-1.976075259628e-10,1.058818577225e-11,1.673239553905e-11,-1.058864903891e-11,-1.67320555013e-11
1.412537544623,1.782308250983e-10,1.658886503501e-10,1.782308250983e-10,1.658886503501e-10,-2.075525763171e-11,-1.073486751138e-11,2.075553050829e-11,1.073423814859e-11
1.428893958511,-9.354093579837e-12,-9.473568185963e-11,-9.354093579837e-12,-9.473568185963e-11,3.28118283363e-12,8.518262932065e-12,-3.281428641779e-12,-8.518148675412e-12
1.445439770746,-6.967270685224e-11,-2.645392716226e-12,-6.967270685224e-11,-2.645392716226e-12,6.506886090227e-12,-1.512352827163e-12,-6.506827744821e-12,1.512544815069e-12
1.462177174457,-5.62212783744e-11,5.089329791556e-11,-5.62212783744e-11,5.089329791556e-11,3.92815932812e-12,-6.10576303196e-12,-3.927966357112e-12,6.105869906575e-12
1.479108388168,4.054058829421e-11,6.773649359383e-11,4.054058829421e-11,6.773649359383e-11,-5.416525290352e-12,-5.262202823889e-12,5.416675836085e-12,5.26202617786e-12
1.496235656094,-3.755656308955e-12,2.168338173006e-10,-3.755656308955e-12,2.168338173006e-10,-4.934898322548e-12,-2.01344676686e-11,4.935513092142e-12,2.013427428195e-11
1.513561248436,3.961293488865e-11,2.435740575108e-10,3.961293488865e-11,2.435740575108e-10,-9.527116717937e-12,-2.156078896105e-11,9.527774293557e-12,2.156044683016e-11
1.531087461682,2.929968676625e-11,1.566075425038e-10,2.929968676625e-11,1.566075425038e-10,-6.436394001285e-12,-1.377849250325e-11,6.436818537577e-12,1.377826060102e-11
1.548816618912,1.476704334001e-10,-9.992081085686e-12,1.476704334001e-10,-9.992081085686e-12,-1.341473930217e-11,4.398699834393e-12,1.341457119968e-11,-4.39912183153e-12
1.566751070108,-7.454288687683e-11,2.280818761845e-11,-7.454288687683e-11,2.280818761845e-11,6.359760643427e-12,-3.84237928177e-12,-6.35962309476e-12,3.842578194379e-12
1.584893192461,-1.173848690814e-10,-2.397287145665e-11,-1.173848690814e-10,-2.397287145665e-11,1.14017428013e-11,-4.835604075811e-13,-1.140170409483e-11,4.839341227296e-13
1.60324539069,7.41620168435e-11,-2.776198733002e-10,7.41620168435e-11,-2.776198733002e-10,-5.438559999805e-13,2.734769192895e-11,5.429458084753e-13,-2.734765528254e-11
1.621810097359,-9.368591674612e-12,3.530698210392e-10,-9.368591674612e-12,3.530698210392e-10,-7.068649994947e-12,-3.284646444668e-11,7.069740388884e-12,3.284616101685e-11
1.6405897732,-3.898262386168e-12,1.132285548176e-10,-3.898262386168e-12,1.132285548176e-10,-2.15514452975e-12,-1.055285703879e-11,2.155499190617e-12,1.055276260995e-11
1.659586907438,7.140574949231e-11,2.095974981791e-10,7.140574949231e-11,2.095974981791e-10,-1.120346216874e-11,-1.780591078308e-11,1.120405246103e-11,1.780548963216e-11
1.678804018123,2.206096786539e-10,2.970193651767e-10,2.206096786539e-10,2.970193651767e-10,-2.68403205781e-11,-2.266545382001e-11,2.684105582856e-11,2.266447417495e-11
1.698243652462,1.337840805184e-10,1.089418512751e-10,1.337840805184e-10,1.089418512751e-10,-1.470435470223e-11,-7.198805084574e-12,1.470457876073e-11,7.198272906169e-12
1.717908387158,-2.123875463746e-10,-5.155446611862e-11,-2.123875463746e-10,-5.155446611862e-11,2.072575754388e-11,2.594609167975e-13,-2.072572530812e-11,-2.587221484612e-13
1.737800828749,-1.981801978152e-10,-3.863567220636e-10,-1.981801978152e-10,-3.863567220636e-10,2.642173022168e-11,3.15563890612e-11,-2.642281439466e-11,-3.155537387072e-11
1.757923613959,9.29039415883e-11,-1.066536107379e-11,9.29039415883e-11,-1.066536107379e-11,-8.366431421992e-12,2.911997035877e-12,8.366308536984e-12,-2.91229616092e-12
1.778279410039,-1.031614066672e-10,-5.314207056798e-12,-1.031614066672e-10,-5.314207056798e-12,9.644615203588e-12,-1.623103137515e-12,-9.644536054803e-12,1.623455501929e-12
1.798870915129,3.122259155399e-11,1.37548165532e-10,3.122259155399e-11,1.37548165532e-10,-5.672857784788e-12,-1.208164293167e-11,5.673297059543e-12,1.208140716198e-11
1.81970085861,1.376152672244e-10,2.796368558659e-10,1.376152672244e-10,2.796368558659e-10,-1.832116052994e-11,-2.309192611831e-11,1.832199513141e-11,2.309118863521e-11
1.840772001469,-1.304241168505e-10,-1.138942001268e-10,-1.304241168505e-10,-1.138942001268e-10,1.431073782162e-11,7.945485860749e-12,-1.431101243784e-11,-7.94492375467e-12
1.862087136663,1.812710750918e-10,-6.564055220575e-11,1.812710750918e-10,-6.564055220575e-11,-1.54709973124e-11,9.615396278851e-12,1.54705951032e-11,-9.615974358934e-12
1.88364908949,2.582138752087e-11,2.945690284402e-11,2.582138752087e-11,2.945690284402e-11,-2.95673660553e-12,-2.223239788944e-12,2.95681751936e-12,2.223119859516e-12
1.905460717963,-1.33256361802e-10,-1.148045505938e-10,-1.33256361802e-10,-1.148045505938e-10,1.451336293364e-11,8.063162001323e-12,-1.451365244919e-11,-8.062572458653e-12
1.927524913191,-1.023953335015e-10,-5.781186723321e-11,-1.023953335015e-10,-5.781186723321e-11,1.055798099242e-11,3.407757939967e-12,-1.055809605466e-11,-3.407329156984e-12
1.949844599758,-7.543905144494e-11,-2.821767560047e-10,-7.543905144494e-11,-2.821767560047e-10,1.22474259492e-11,2.467288861402e-11,-1.224839893345e-11,-2.467234407739e-11
1.972422736115,1.132687856366e-10,-1.447916977836e-10,1.132687856366e-10,-1.447916977836e-10,-7.794626794283e-12,1.547667498316e-11,7.793978240912e-12,-1.547696278161e-11
